description,price_$,decade,tag,cat
Bruce Springsteen US Tour Shirt,200.0,1970,Bruce Springsteen,Music
Bob Seger Stranger In Tour Shirt,200.0,1970,Bob Seger,Music
Bob Dylan US Tour Shirt,400.0,1970,Bob Dylan,Music
Bob Dylan US Tour Shirt,500.0,1970,Bob Dylan,Music
Blondie Palladium Concert Shirt,750.0,1970,,
Black Sabbath US Tour Shirt,600.0,1970,Black Sabbath,Music
Black Sabbath Never Say Die Tour Long Sleeve Shirt,750.0,1970,Black Sabbath,Music
Billy Joel 52nd Street North American Tour Shirt,150.0,1970,,
Billy Joel 52nd Street American Tour Shirt,200.0,1970,,
Aerosmith Day On The Green Concert Shirt,500.0,1970,Aerosmith,Music
Yes World Tour Shirt,200.0,1970,,
The Jacksons Peacock Records Promo Shirt,200.0,1970,,
Star Wars May The Force Be With You Shirt,300.0,1970,Star Wars,Entretainment
Sex Pistols Never Mind The Bollocks Warner Brothers Promo Shirt,1.2,1970,,
Sammy Hagar Musical Chairs Promo Shirt,175.0,1970,,
Queen News Of The World Shirt,400.0,1970,,
Queen News Of The World Shirt,500.0,1970,,
Pink Floyd Animals Tour Shirt,300.0,1970,Pink Floyd,Music
Pink Floyd Animals Tour Shirt,400.0,1970,Pink Floyd,Music
Pink Floyd Animals Shirt,250.0,1970,Pink Floyd,Music
Peter Frampton Summer Tour Shirt,150.0,1970,,
New York Yankees World Series Jersey Shirt,250.0,1970,,
Muhammad Ali I Am The Greatest Shirt,250.0,1970,,
Indian Motorcycles 6th Annual Come Home Rally Shirt,125.0,1970,,
Grateful Dead Jersey Shirt,400.0,1970,Grateful Dead,Music
Frisbee Championship Octad Shirt,75.0,1970,,
Fleetwood Mac Rumors Tour Shirt,300.0,1970,Fleetwood Mac,Music
Fleetwood Mac Penguin Country Safari Crew Polo Shirt,600.0,1970,Fleetwood Mac,Music
Fleetwood Mac Concert Productions International Crew Shirt,250.0,1970,Fleetwood Mac,Music
Elvis Presley King Of Rock & Roll Shirt,250.0,1970,,
Electric Light Orchestra North American Tour Shirt,150.0,1970,,
Earth Wind & Fire Tour Of The Universe Shirt,200.0,1970,,
Dizzy Gillespie Shirt,650.0,1970,,
Alice Cooper Lace And Whiskey Promo Shirt,200.0,1970,Alice Cooper,Music
Wings Paul McCartney Showco Crew Only Tour Shirt,400.0,1970,,
Wings Over American Capitol Records Promo Shirt,250.0,1970,,
Wings Over American Capitol Records Promo Shirt,300.0,1970,,
Wings Over America Promo Shirt,250.0,1970,,
Wings Over America Capitol Records Promo Shirt,300.0,1970,,
Victor RCA Convention San Francisco Tower Records Shirt,200.0,1970,,
Uncle Sherman Fan Club Shirt,200.0,1970,,
Tower Of Power Morpheus Stage Lights Crew Shirt,200.0,1970,,
The Who MCA Records Promo Shirt,175.0,1970,The Who,Music
The Omen Movie Promo Shirt,135.0,1970,,
Rush 2112 Flipside Records Promo Shirt,250.0,1970,,
Rolling Stones Tour Of Europe Pearl Snap Denim Shirt,1.0,1970,Rolling Stones,Music
Ringo Starr Ringo’s Rotogravure Promo Shirt,200.0,1970,,
Queen World Tour Shirt,500.0,1970,,
Paul McCartney Wings Over America Tour Shirt,400.0,1970,,
Paul McCartney Wings Over America Promo Shirt,300.0,1970,,
Nazareth Tour Of Canada Shirt,150.0,1970,,
Lynyrd Skynyrd Electric Factory Presents Crew Tour Shirt,400.0,1970,,
Lynyrd Skynyrd America Tour Shirt,300.0,1970,,
Indian Motorcycles 5th Annual Come Home Rally Shirt,125.0,1970,,
Buddy Holly Day Lubbock Texas Shirt,175.0,1970,,
Bob Seger Pontiac Silver Dome Shirt,300.0,1970,Bob Seger,Music
Wings Capitol Records Promo Shirt,250.0,1970,,
Wings Capitol Records Promo Shirt,400.0,1970,,
Summer Trip Saul Ash Shirt,150.0,1970,,
